candidate_id,source,title,composer_normalized,grade,grade_source,midi_min,midi_max,midi_range,midi_median,key_fifths,key_changes,tempo_bpm,time_sig,meter_changes,smallest_division,dotted_count,tied_count,tuplet_count,max_chord_stack,polyphonic_measure_ratio,voice_count_max,ornament_mordent,ornament_trill,ornament_turn,grace_count,harmonic_count,barre_count,position_shift_proxy,measure_count,note_count,duration_sec_approx
guitarloot:Scores/EnglishMusic/Cutting/36GallGtrA,guitarloot,Galliard B36,Francis Cutting or John Dowland,7,delcamp-eric-crouch,55,86,31,76.0,1,1,72.0,3/4,1,16,31,4,0,3,1.0,4,0,0,0,0,0,0,,52,581,130.0
guitarloot:Scores/EnglishMusic/Cutting/39AlmaineGtrA,guitarloot,Almaine B39,Francis Cutting,7,delcamp-eric-crouch,52,83,31,71,3,1,64.0,4/4,1,32,11,6,0,3,1.0,3,0,0,0,0,0,0,,16,421,60.0
guitarloot:Scores/EnglishMusic/Cutting/46WilloughbyGtr.iPad,guitarloot,My Lord Willoughby's Welcome Home B46,Francis Cutting,7,delcamp-eric-crouch,52,85,33,73.0,2,1,78.0,4/4,1,16,35,4,0,3,1.0,3,0,0,0,0,0,0,,48,475,147.7
guitarloot:Scores/EnglishMusic/Cutting/51LachrimaeGtr.iPad,guitarloot,Lachrimae Pavan B51,Francis Cutting,7,delcamp-eric-crouch,52,84,32,71,1,1,,4/4,1,16,81,26,0,5,1.0,4,0,0,0,0,0,0,,98,905,
guitarloot:Scores/EnglishMusic/Cutting/52Quadro.GtrA,guitarloot,Quadro Pavan B52,? Francis Cutting,7,delcamp-eric-crouch,52,83,31,71,3,1,54.0,4/4,1,16,35,2,0,3,0.98,4,0,0,0,0,0,0,,49,714,217.8
guitarloot:Scores/EnglishMusic/Cutting/55WoodsSoWildGtrArr,guitarloot,The Woods so Wild B55,Francis Cutting/William Byrd,7,delcamp-eric-crouch,52,83,31,69,2,1,120.0,6/8,1,32,217,6,0,3,1.0,3,0,0,0,0,0,0,,114,1553,171.0
guitarloot:Scores/EnglishMusic/Cutting/56GalliardGtrA,guitarloot,Galliard 56,Francis Cutting,7,delcamp-eric-crouch,55,79,24,71.0,1,1,72.0,3/4,1,16,17,6,0,4,1.0,4,0,0,0,0,0,0,,24,203,60.0
guitarloot:Scores/EnglishMusic/Danyel/AnnGreneGtr,guitarloot,Mistress Ann Grene - Her Leaves be Green,John Danyel,9,delcamp-eric-crouch,52,88,36,73,1,1,72.0,3/4,1,32,119,180,0,4,0.992,4,0,0,0,0,0,0,,121,1282,302.5
guitarloot:Scores/EnglishMusic/Danyel/AnnGrenefGtr,guitarloot,Mistress Ann Grene - Her Leaves be Green,John Danyel,9,delcamp-eric-crouch,52,88,36,73,1,1,72.0,3/4,1,32,119,180,0,4,0.992,4,0,0,0,0,0,0,,121,1290,302.5
guitarloot:Scores/EnglishMusic/Danyel/MonsieurDanGtr.iPad,guitarloot,Mounsier's Almaine,John Danyel,9,delcamp-eric-crouch,52,83,31,71.0,4,1,104.0,2/2,1,32,153,110,0,4,1.0,3,0,0,0,0,0,0,,136,1927,313.8
